regime,level,threshold,alternative,statistic,auc,ci_low,ci_high
finch,,0.5,lognormal,observed_mean_r2,0.6355555555555555,0.49333333333333335,0.77
finch,,0.5,lognormal,shuffle_z,0.6411111111111111,0.49333333333333335,0.7833333333333333
finch,,0.5,lognormal,rotate_z,0.5666666666666667,0.40994444444444444,0.7089166666666665
finch,,0.5,lognormal,bigram_z,0.5966666666666667,0.45222222222222225,0.7388888888888889
finch,,0.5,geometric,observed_mean_r2,0.6311111111111111,0.4799722222222222,0.7688888888888888
finch,,0.5,geometric,shuffle_z,0.6988888888888889,0.5577777777777778,0.8333888888888886
finch,,0.5,geometric,rotate_z,0.6644444444444444,0.5233333333333333,0.8
finch,,0.5,geometric,bigram_z,0.6711111111111111,0.5265833333333333,0.8111388888888887
finch,,0.7,uniform,observed_mean_r2,1.0,1.0,1.0
finch,,0.7,uniform,shuffle_z,0.9422222222222222,0.8788888888888889,0.9888888888888889
finch,,0.7,uniform,rotate_z,0.9588888888888889,0.9088611111111111,0.9944444444444445
finch,,0.7,uniform,bigram_z,0.9744444444444444,0.92,1.0
finch,,0.7,lognormal,observed_mean_r2,0.7344444444444445,0.6077777777777778,0.8511388888888888
finch,,0.7,lognormal,shuffle_z,0.6855555555555556,0.5455277777777778,0.8200277777777776
finch,,0.7,lognormal,rotate_z,0.6844444444444444,0.5433055555555556,0.8144444444444444
finch,,0.7,lognormal,bigram_z,0.6766666666666666,0.5377777777777778,0.8055555555555556
finch,,0.7,geometric,observed_mean_r2,0.5922222222222222,0.4455,0.7333611111111109
finch,,0.7,geometric,shuffle_z,0.6711111111111111,0.53,0.8155555555555556
finch,,0.7,geometric,rotate_z,0.6033333333333334,0.45555555555555555,0.7478055555555554
finch,,0.7,geometric,bigram_z,0.5655555555555556,0.4088611111111111,0.71
