regime,level,change,alternative,statistic,auc,ci_low,ci_high
whale song,s = 0,Zipf exponent 1.2,geometric,observed_mean_r2,0.92,0.8399722222222222,0.9811111111111112
whale song,s = 0,Zipf exponent 1.2,geometric,shuffle_z,0.21888888888888888,0.10444444444444445,0.3455833333333332
whale song,s = 0,Zipf exponent 1.2,geometric,rotate_z,0.7911111111111111,0.6633055555555556,0.9000277777777776
whale song,s = 0,Zipf exponent 1.2,geometric,bigram_z,0.7822222222222223,0.66,0.8922499999999999
whale song,s = 0.8,Zipf exponent 1.2,uniform,observed_mean_r2,0.9988888888888889,0.9933333333333333,1.0
whale song,s = 0.8,Zipf exponent 1.2,uniform,shuffle_z,0.2911111111111111,0.16555555555555557,0.43222222222222223
whale song,s = 0.8,Zipf exponent 1.2,uniform,rotate_z,0.45111111111111113,0.3065833333333333,0.6066666666666667
whale song,s = 0.8,Zipf exponent 1.2,uniform,bigram_z,0.11,0.02666666666666667,0.21336111111111097
whale song,s = 0.8,Zipf exponent 1.2,lognormal,observed_mean_r2,0.4888888888888889,0.33666666666666667,0.6388888888888888
whale song,s = 0.8,Zipf exponent 1.2,lognormal,shuffle_z,0.31333333333333335,0.1811111111111111,0.44666666666666666
whale song,s = 0.8,Zipf exponent 1.2,lognormal,rotate_z,0.31666666666666665,0.19111111111111112,0.46555555555555556
whale song,s = 0.8,Zipf exponent 1.2,lognormal,bigram_z,0.43222222222222223,0.28555555555555556,0.5811388888888888
whale song,s = 0.8,Zipf exponent 1.2,geometric,observed_mean_r2,0.5055555555555555,0.3522222222222222,0.65
whale song,s = 0.8,Zipf exponent 1.2,geometric,shuffle_z,0.2,0.09222222222222222,0.3278055555555554
whale song,s = 0.8,Zipf exponent 1.2,geometric,rotate_z,0.23444444444444446,0.12219444444444444,0.3600277777777776
whale song,s = 0.8,Zipf exponent 1.2,geometric,bigram_z,0.3233333333333333,0.19666666666666666,0.4688888888888889
