law,brevity,mean_repeats,dataset,condition,loglog_r2,loglog_r2_undefined_years,loglog_slope,loglog_slope_undefined_years,brevity_r2,brevity_r2_undefined_years,brevity_slope,brevity_slope_undefined_years,csn_alpha,csn_alpha_undefined_years,boundary_f1,boundary_f1_undefined_years
zipf,True,1.0,22,undersplit_25,0.9457276856831756,0,-0.9422883534519542,0,0.20983787181670338,0,-0.9257872717373157,0,2.003810377936148,0,0.7753784339867731,0
zipf,True,1.0,23,clean,0.9481058938105449,0,-0.9548699327560565,0,0.22319391352446857,0,-0.9185255837181949,0,1.9931036824536776,0,0.7839122262987004,0
zipf,True,1.0,23,confuse_6.7,0.8725431738864305,0,-0.707115793914786,0,0.12462391426629191,0,-0.8757039680468316,0,2.2093231697539215,0,0.712215087873299,0
zipf,True,1.0,23,confuse_19.19,0.7720228214957141,0,-0.4860977601588182,0,0.11668842130898766,0,-1.2159306188163352,0,2.581286204984,0,0.5821849973856205,0
zipf,True,1.0,23,oversplit_25,0.9218770361012554,0,-0.8167570374891351,0,0.19997857608806724,0,-0.9378706957112382,0,2.1745296246653494,0,0.7563508196951807,0
zipf,True,1.0,23,undersplit_25,0.9396151867246532,0,-0.920138742785018,0,0.2155427662089126,0,-0.936462684295442,0,2.0482006644539053,0,0.7441436299367613,0
zipf,True,1.0,24,clean,0.9444202891828759,0,-0.9602141288959758,0,0.19866953489424288,0,-0.9132885120124039,0,2.0384628119704393,0,0.7883064213093949,0
zipf,True,1.0,24,confuse_6.7,0.8737298723770696,0,-0.7249305148831258,0,0.12316018122819755,0,-0.8482985804758268,0,2.189850725581241,0,0.71371578257839,0
zipf,True,1.0,24,confuse_19.19,0.7536647370058782,0,-0.47233363067204187,0,0.11021281604889317,0,-1.2150383692022433,0,2.6283585097480944,0,0.5825306116841955,0
zipf,True,1.0,24,oversplit_25,0.9239401025647047,0,-0.8296795073179691,0,0.18480090672905924,0,-0.9285310588602533,0,2.1512835181088255,0,0.7569800995644815,0
zipf,True,1.0,24,undersplit_25,0.9438977211697783,0,-0.9228185617951679,0,0.19493985651942225,0,-0.9054952905989935,0,1.987693453619959,0,0.7477280067924966,0
zipf,True,1.0,25,clean,0.9393715214953344,0,-0.9299831106407752,0,0.20048474838140942,0,-1.0025394708431083,0,2.0435941844175978,0,0.7806269197598122,0
zipf,True,1.0,25,confuse_6.7,0.8493380059099428,0,-0.6745264210810014,0,0.10997482559055308,0,-0.9176920909976198,0,2.2565057509365714,0,0.7022955721277193,0
zipf,True,1.0,25,confuse_19.19,0.7415492184906585,0,-0.4560795385079559,0,0.10666508443332186,0,-1.246154154406755,0,2.7484521306999152,0,0.5690866939704946,0
zipf,True,1.0,25,oversplit_25,0.917060002082483,0,-0.8306687221063764,0,0.18318011204855877,0,-0.935932763472993,0,2.141699234369764,0,0.7612530832422846,0
zipf,True,1.0,25,undersplit_25,0.9355133399417226,0,-0.8852510029245453,0,0.2045527422064227,0,-1.0204649470503844,0,2.1087908922052625,0,0.7395446839265324,0
zipf,True,1.0,26,clean,0.9489725013232833,0,-0.9703579792140855,0,0.21232590376864813,0,-0.88544443142378,0,2.083700521711296,0,0.7875602056343813,0
zipf,True,1.0,26,confuse_6.7,0.8751429331281825,0,-0.7096650441683454,0,0.12462970542204997,0,-0.8915767746208896,0,2.179204760712212,0,0.7023904442545873,0
zipf,True,1.0,26,confuse_19.19,0.7552883609400094,0,-0.47237190951118535,0,0.1074282635142072,0,-1.2089215853181918,0,2.677927087173626,0,0.5778846174741636,0
zipf,True,1.0,26,oversplit_25,0.9363865705057983,0,-0.8398458888288498,0,0.19184327553447422,0,-0.939322530088237,0,2.1303721641384703,0,0.7562221016850174,0
zipf,True,1.0,26,undersplit_25,0.947954694340994,0,-0.9536164796146867,0,0.22134943121059336,0,-0.9326577364851598,0,2.041601453527738,0,0.766429044661237,0
zipf,True,1.0,27,clean,0.9488428855633466,0,-0.968462186863759,0,0.20894419706091688,0,-0.8840036364702553,0,1.9756466306072507,0,0.7905998791644937,0
zipf,True,1.0,27,confuse_6.7,0.8744965208811557,0,-0.7221016686741332,0,0.12823392838831785,0,-0.8511785546886249,0,2.2375663143618016,0,0.7182579391818797,0
