law,mean_repeats,dataset,year,source,n_types,loglog_r2,csn_xmin,csn_alpha,csn_tail,tail_fraction,gof_p,gof_failed,lr_R,lr_normalized_R,lr_p,lr_at_bound,lr_mu,lr_sigma,lr_gap,error
geometric,5.0,1,2013,true,61,0.7620264861959657,7,2.470700373425332,39,0.639344262295082,0.49,0,-0.7131965883576965,-0.7694587201601403,0.44162104111294287,False,0.7797838777793211,1.2196887276369062,4.220623850414995e-12,
geometric,5.0,1,2014,discovered,236,0.9321891784584726,1,1.7629050338536398,236,1.0,0.19,0,-0.6218059786250301,-0.36974515265710084,0.7115723852482116,False,-21.806093188390633,5.0331420472232065,8.339003443325055e-08,
geometric,5.0,1,2014,true,83,0.6841099633736019,33,4.372235718983163,17,0.20481927710843373,0.96,0,-0.010821489547046426,-0.11409177603001124,0.9091650414321948,False,-3.6374032429663146,1.5024611964109433,7.684378289241067e-08,
geometric,5.0,1,2015,discovered,439,0.9093411358157554,1,1.8548862192944346,439,1.0,0.0,0,7.06641983451427,4.227524194195616,2.3627677544374202e-05,False,-217165.9843316925,453.3406835303115,0.0034099423392035533,
geometric,5.0,1,2015,true,96,0.7514932274624411,38,3.0225788898343073,35,0.3645833333333333,0.09,0,-1.7325982296855789,-1.1644586894878632,0.2442381752914191,False,3.6418329745221074,0.6120538345141535,1.0800249583553523e-12,
geometric,5.0,1,2016,discovered,317,0.9190795060925003,1,1.9270482115808916,317,1.0,0.03,0,3.30345700719978,2.4171121205429524,0.01564419746582777,False,-489423.1088917298,651.2890623400085,0.0017842798124547699,
geometric,5.0,1,2016,true,88,0.7256760700059752,27,3.0446171320695514,31,0.3522727272727273,0.35,0,-0.7089463256774478,-0.784850882455235,0.4325410030616825,False,2.750665343737809,0.80915100577648,1.7467982615926303e-10,
geometric,5.0,1,2017,discovered,321,0.9227454615565114,1,1.875174781384538,321,1.0,0.0,0,4.888293842449871,3.330342262408574,0.0008673929308547281,False,-667459.1250432907,784.817855248166,0.0026524080840317765,
geometric,5.0,1,2017,true,87,0.7338474959904925,37,3.610628402832686,24,0.27586206896551724,0.17,0,-0.2619847429867086,-0.5809512340835572,0.5612733207072685,False,2.505439308628172,0.8201750642100128,9.386269539390923e-11,
geometric,5.0,2,2010,discovered,73,0.9124521309970612,1,2.0940109121264223,73,1.0,0.52,0,0.04954039842924418,0.08482661948405204,0.9323992305194286,False,-86.28218384254797,7.981360803097232,0.000384622363753806,
geometric,5.0,2,2010,true,37,0.8169777797301488,6,2.488433629113044,17,0.4594594594594595,0.12,0,-1.68964811505976,-1.1297656142315913,0.2585750009491926,False,2.1426897800865206,0.6099523288658442,6.323830348264892e-13,
geometric,5.0,2,2011,discovered,102,0.9188651966312407,1,2.13789994755982,102,1.0,0.69,0,-0.47674674299227143,-0.5404065792916899,0.588916671499689,False,-11.940555798299393,3.045362381797044,8.234337656176649e-09,
geometric,5.0,2,2011,true,58,0.6895141102767592,10,3.532066328461105,23,0.39655172413793105,0.26,0,-0.5879019796618179,-0.6554843285842756,0.5121559730448575,False,1.9360861145502142,0.6183054815801343,7.460698725481052e-13,
geometric,5.0,2,2012,discovered,157,0.9228386846097244,1,1.9435065115945775,157,1.0,0.07,0,1.3885741138843137,1.413533361405459,0.157498959306274,False,-467344.14811452373,630.3153746272632,0.0007208842698673834,
geometric,5.0,2,2012,true,65,0.7932307273065039,6,2.017028752120218,40,0.6153846153846154,0.04,0,-3.8609910648660577,-1.6677975302867742,0.09535592633343569,False,2.2802839750750263,0.9165959168999166,2.9558577807620168e-12,
geometric,5.0,2,2013,discovered,135,0.9146220010350107,1,1.9696760690600668,135,1.0,0.03,0,-1.1413478213632002,-0.7914384670892572,0.4286881701087649,False,-6.469488738824895,2.5695139193165595,6.138861863291822e-09,
geometric,5.0,2,2013,true,54,0.8438176409004765,18,3.4742202028631852,14,0.25925925925925924,0.71,0,-0.05631193269907886,-0.22062289367579008,0.8253860736952146,False,0.08030857663658904,1.184768605459411,6.572022925865895e-10,
geometric,5.0,2,2014,discovered,253,0.917653340549566,1,1.8850975852833873,253,1.0,0.01,0,3.2919706740008072,2.6424569172976815,0.008230693588301878,False,-666889.8087371349,779.4632352676581,0.0016564653415116481,
geometric,5.0,2,2014,true,85,0.7685951535489008,26,3.263099137330986,24,0.2823529411764706,0.13,0,-1.1758188866502661,-0.980374863265215,0.32690111302114855,False,3.2543387814191043,0.5479316176540655,3.439026841078885e-12,
geometric,5.0,2,2015,discovered,381,0.9142157665737921,1,1.8041641736648941,381,1.0,0.0,0,9.027802187649257,5.259404474763565,1.4452268204132487e-07,False,-920327.8932282719,965.5746138595206,0.005042385982051201,
geometric,5.0,2,2015,true,87,0.7073787439031154,69,6.0500627881958495,17,0.19540229885057472,0.9,0,-0.05989007846249894,-0.22037561813404702,0.8255786325704759,False,2.7307561374914133,0.6063728095484479,4.3638692659442313e-10,
geometric,5.0,2,2016,discovered,343,0.929043360691168,1,1.9338892530345697,343,1.0,0.0,0,4.113516531532523,2.7348948089360756,0.0062400213581854285,False,-678039.9362621879,763.8770135150967,0.002509162270143861,
geometric,5.0,2,2016,true,91,0.7209576974467018,52,5.386550200018066,13,0.14285714285714285,0.89,0,-0.02919630991734845,-0.18920348969196613,0.8499333326852376,False,1.5576619040724988,0.7985318362946133,2.2734880644748046e-09,
geometric,5.0,2,2017,discovered,304,0.9225129010635281,1,1.8114389484122966,304,1.0,0.0,0,4.88937278422797,3.262640297360504,0.0011037952217811797,False,-578264.0322208114,760.5344187996695,0.0024551914457333623,
geometric,5.0,2,2017,true,88,0.7535783000745474,42,4.0548923080158685,18,0.20454545454545456,0.65,0,0.002395966928855131,0.30653653728848274,0.7591961651158137,False,-39770.314560206665,113.604663472397,7.814498530933633e-06,
geometric,5.0,3,2010,discovered,76,0.9276989496320224,1,2.061178656934027,76,1.0,0.57,0,0.027761505616656468,0.046539550524426994,0.9628802114624295,False,-844.8847704612342,25.18002148861462,2.2032420474715764e-05,
geometric,5.0,3,2010,true,38,0.845444722539366,4,2.1594608440634007,23,0.6052631578947368,0.18,0,-2.4676975991061476,-1.3765773997983488,0.16864294222686238,False,1.8454359357588845,0.7564265908436952,7.204903340607416e-12,
geometric,5.0,3,2011,discovered,127,0.9367428589817186,1,1.9559104129631324,127,1.0,0.09,0,-0.2099373660189765,-0.2015353159236263,0.8402800177775692,False,-27.753505100667066,4.956613369177183,1.2101392599106475e-07,
geometric,5.0,3,2011,true,61,0.7985330429246745,5,2.232841817753202,38,0.6229508196721312,0.13,0,-2.1169281116345324,-1.1838961234880103,0.23645418488781333,False,1.6365403758384396,0.947712045552602,2.4158453015843406e-13,
