regime,law,mean_repeats,dataset,group,year,source,zipf_exponent,lognormal_sigma,geometric_tail,n_types,loglog_r2,csn_xmin,csn_alpha,csn_tail,tail_fraction,gof_p,gof_failed,lr_R,lr_normalized_R,lr_p,lr_at_bound,lr_mu,lr_sigma,lr_gap,error
finch,zipf,1.0,0,20,,true,1.0,1.0,0.05,10,0.8293972407729587,2.0,1.52666149454699,10.0,1.0,0.0,0.0,-3.687464500928032,-1.496117807668164,0.1346229581465485,False,2.3345419312026334,0.9017957909676605,6.963318810448982e-13,
finch,zipf,1.0,0,21,,discovered,1.0,1.0,0.05,38,0.9641284179318683,2.0,2.0789103243225653,19.0,0.5,0.67,0.0,-0.40526484133460194,-0.5651949574680925,0.5719411661144821,False,-1.2263313703827097,1.6497437155254064,1.5911183481875923e-10,
finch,zipf,1.0,0,21,,true,1.0,1.0,0.05,10,0.8724624438223508,2.0,1.5181849947716317,10.0,1.0,0.0,0.0,-4.385512197065476,-1.804837005541647,0.0711001917504178,False,2.390571945483754,0.8284953971693404,9.237055564881302e-14,
finch,zipf,1.0,0,22,,discovered,1.0,1.0,0.05,39,0.9564902206104817,1.0,1.9017102422683119,39.0,1.0,0.47,0.0,-0.9366846124875399,-0.8229870255229421,0.41051537165455443,False,-2.698028522013418,1.949366758977479,1.0587086762825493e-10,
finch,zipf,1.0,0,22,,true,1.0,1.0,0.05,10,0.9152101242804319,3.0,1.6725184896906693,10.0,1.0,0.01,0.0,-3.178159206935715,-1.5712152570004745,0.11613265735415217,False,2.3925652836325275,0.7730790316587177,1.9326762412674725e-12,
finch,zipf,1.0,0,23,,discovered,1.0,1.0,0.05,36,0.9400279120502643,2.0,2.113014622428994,25.0,0.6944444444444444,0.68,0.0,-1.1237604610248586,-0.9721228252389482,0.33098944809408026,False,0.3468315055664031,1.1339564172127878,3.645084234449314e-12,
finch,zipf,1.0,0,23,,true,1.0,1.0,0.05,10,0.9524242793173059,4.0,1.871728116315515,10.0,1.0,0.43,0.0,-1.1190818214746194,-0.9103734414567086,0.3626255991551788,False,2.017482072940219,1.0015874829973535,1.6058265828178264e-12,
finch,zipf,1.0,0,24,,discovered,1.0,1.0,0.05,45,0.9416277112427487,1.0,1.9503946701057782,45.0,1.0,0.01,0.0,-0.9577682034423964,-0.815177633348519,0.4149706387540196,False,-2.8204329573316627,1.9078109469420002,4.249045559845399e-12,
finch,zipf,1.0,0,24,,true,1.0,1.0,0.05,10,0.9705311475622607,4.0,1.8775532312302987,10.0,1.0,0.72,0.0,-1.0095147774088047,-0.9017123649582537,0.3672096828542438,False,1.9422608072464573,1.0428629595187404,1.9895196601282805e-13,
finch,zipf,1.0,0,25,,discovered,1.0,1.0,0.05,36,0.9092219782801851,1.0,1.891161834484198,36.0,1.0,0.29,0.0,-0.6217772721980501,-0.6534563245163102,0.5134621374884398,False,-3.1420677542247843,2.0700481992027493,2.2158985757414484e-10,
finch,zipf,1.0,0,25,,true,1.0,1.0,0.05,10,0.8955004125082655,2.0,1.5370343379879636,10.0,1.0,0.03,0.0,-3.1645629310328487,-1.5125652116838393,0.13039013640605715,False,2.262487946083182,0.9666989860979425,1.5631940186722204e-13,
finch,zipf,1.0,0,26,,discovered,1.0,1.0,0.05,34,0.9521424436701287,1.0,1.9218486111809259,34.0,1.0,0.86,0.0,-0.1518637760276791,-0.26107572624555125,0.7940341103402568,False,-21.694656921557613,4.504810837493021,2.604524240723549e-08,
