law,mean_repeats,rep,n_elements_total,true_word_types,true_r2,threshold,pipeline_r2,n_unit_types,n_units,boundary_f1,shuffle_mean,shuffle_sd,shuffle_z,shuffle_p,rotate_mean,rotate_sd,rotate_z,rotate_p,bigram_mean,bigram_sd,bigram_z,bigram_p
zipf,1.0,18,5939,100,0.9558945241626052,0.75,0.9523626240374412,306,2189,0.6535459529571528,,,,,,,,,,,,
zipf,1.0,19,4500,99,0.9408778629079574,0.25,0.8891465904312459,362,1014,0.7497459709973994,,,,,,,,,,,,
zipf,1.0,19,4500,99,0.9408778629079574,0.5,0.9484276419893461,317,1511,0.7711661814559557,0.6710418486273941,0.019583264561087253,14.164430679914775,0.004975124378109453,0.8709822938972113,0.00855221967646429,9.055584517463283,0.004975124378109453,0.8595523004567295,0.013454652272310743,6.605547266020347,0.004975124378109453
zipf,1.0,19,4500,99,0.9408778629079574,0.75,0.9582336778750471,294,1855,0.7380992126611641,,,,,,,,,,,,
zipf,5.0,0,5455,74,0.8782728187463622,0.25,0.8423751127312031,194,370,0.2861254031496698,,,,,,,,,,,,
zipf,5.0,0,5455,74,0.8782728187463622,0.5,0.9318953892099291,235,879,0.36951697181256965,0.6073898952863439,0.024822673537675748,13.072946934223348,0.004975124378109453,0.8780583113395426,0.011292918438850646,4.767330797783203,0.004975124378109453,0.8605685376763234,0.013676513748969986,5.215280212691451,0.004975124378109453
zipf,5.0,0,5455,74,0.8782728187463622,0.75,0.9030209189445363,212,1603,0.4656996530906237,,,,,,,,,,,,
zipf,5.0,1,4734,70,0.8987991452491201,0.25,0.8997535439064925,193,464,0.2935212254635626,,,,,,,,,,,,
zipf,5.0,1,4734,70,0.8987991452491201,0.5,0.9439213054806049,223,904,0.3312221284109974,0.6686740809366423,0.023303780361690073,11.811269256401486,0.004975124378109453,0.9032483634388475,0.009649087395330172,4.21521128116652,0.004975124378109453,0.8960637305091578,0.009295468325050809,5.148484540845937,0.004975124378109453
zipf,5.0,1,4734,70,0.8987991452491201,0.75,0.9297006075516278,194,1519,0.4978538767396831,,,,,,,,,,,,
zipf,5.0,2,4786,68,0.8760185236898869,0.25,0.8850708786394091,186,334,0.26029544920163444,,,,,,,,,,,,
zipf,5.0,2,4786,68,0.8760185236898869,0.5,0.944832450854487,213,880,0.3770174862915091,0.6180020991708405,0.02556795547142946,12.782811361231378,0.004975124378109453,0.8877382242511949,0.011106301161420227,5.140705782553365,0.004975124378109453,0.8662320116733965,0.01398763013264035,5.619282068209337,0.004975124378109453
zipf,5.0,2,4786,68,0.8760185236898869,0.75,0.9201466070565784,208,1629,0.39798932679935295,,,,,,,,,,,,
zipf,5.0,3,5944,69,0.8788772248421669,0.25,0.9121347353267081,206,462,0.2717226220536267,,,,,,,,,,,,
zipf,5.0,3,5944,69,0.8788772248421669,0.5,0.9557139051819469,208,1113,0.42152454546551626,0.6985465666564968,0.016933263963381,15.187109766999841,0.004975124378109453,0.9099684101185757,0.007956000720843029,5.749810321601374,0.004975124378109453,0.8675114938621433,0.012841759525821242,6.8684054659684906,0.004975124378109453
zipf,5.0,3,5944,69,0.8788772248421669,0.75,0.9237884472848856,192,2094,0.37801165712333745,,,,,,,,,,,,
zipf,5.0,4,5542,72,0.901932532670506,0.25,0.9142911496734856,179,535,0.36965027048852445,,,,,,,,,,,,
