kind,config,sweep,policy,law,level,statistic,auc,lo,hi,r2_zipf,r2_law,cuts_zipf,cuts_law,share_zipf,share_law
finch,primary,thr0.3,skip,lognormal,repeats=1,observed_mean_r2,0.5322222222222223,0.3844444444444444,0.6822222222222222,0.8158767192714296,0.8127838429422083,6.5601111111111114,6.321666666666666,0.36666666666666664,0.26666666666666666
finch,primary,thr0.3,skip,lognormal,repeats=1,shuffle_z,0.6122222222222222,0.4621944444444444,0.7577777777777778,0.8158767192714296,0.8127838429422083,6.5601111111111114,6.321666666666666,0.36666666666666664,0.26666666666666666
finch,primary,thr0.3,skip,lognormal,repeats=1,rotate_z,0.6433333333333333,0.5010833333333333,0.7766666666666666,0.8158767192714296,0.8127838429422083,6.5601111111111114,6.321666666666666,0.36666666666666664,0.26666666666666666
finch,primary,thr0.3,skip,lognormal,repeats=1,bigram_z,0.43,0.28555555555555556,0.5811388888888888,0.8158767192714296,0.8127838429422083,6.5601111111111114,6.321666666666666,0.36666666666666664,0.26666666666666666
finch,primary,thr0.3,skip,lognormal,repeats=1,observed_mean_slope,0.5644444444444444,0.4122222222222222,0.7022222222222222,0.8158767192714296,0.8127838429422083,6.5601111111111114,6.321666666666666,0.36666666666666664,0.26666666666666666
finch,primary,thr0.3,skip,lognormal,repeats=1,observed_mean_unit_types,0.8733333333333333,0.7705416666666667,0.9583333333333334,0.8158767192714296,0.8127838429422083,6.5601111111111114,6.321666666666666,0.36666666666666664,0.26666666666666666
finch,primary,thr0.3,skip,geometric,repeats=1,observed_mean_r2,0.6455555555555555,0.4988888888888889,0.7722499999999999,0.8158767192714296,0.7975761093538244,6.5601111111111114,6.299333333333334,0.36666666666666664,0.16666666666666666
finch,primary,thr0.3,skip,geometric,repeats=1,shuffle_z,0.5655555555555556,0.41330555555555554,0.7100277777777776,0.8158767192714296,0.7975761093538244,6.5601111111111114,6.299333333333334,0.36666666666666664,0.16666666666666666
finch,primary,thr0.3,skip,geometric,repeats=1,rotate_z,0.7244444444444444,0.5877777777777777,0.8444722222222221,0.8158767192714296,0.7975761093538244,6.5601111111111114,6.299333333333334,0.36666666666666664,0.16666666666666666
finch,primary,thr0.3,skip,geometric,repeats=1,bigram_z,0.48444444444444446,0.34330555555555553,0.6433333333333333,0.8158767192714296,0.7975761093538244,6.5601111111111114,6.299333333333334,0.36666666666666664,0.16666666666666666
finch,primary,thr0.3,skip,geometric,repeats=1,observed_mean_slope,0.5344444444444445,0.38,0.6778055555555554,0.8158767192714296,0.7975761093538244,6.5601111111111114,6.299333333333334,0.36666666666666664,0.16666666666666666
finch,primary,thr0.3,skip,geometric,repeats=1,observed_mean_unit_types,0.845,0.7360972222222223,0.9427777777777778,0.8158767192714296,0.7975761093538244,6.5601111111111114,6.299333333333334,0.36666666666666664,0.16666666666666666
finch,primary,thr0.3,zero,uniform,repeats=1,observed_mean_r2,0.8666666666666667,0.7621666666666667,0.9522222222222222,0.8158767192714296,0.7646611395443765,6.5601111111111114,5.879888888888888,0.4,0.26666666666666666
finch,primary,thr0.3,zero,uniform,repeats=1,shuffle_z,0.07444444444444444,0.02,0.14558333333333318,0.8158767192714296,0.7646611395443765,6.5601111111111114,5.879888888888888,0.4,0.26666666666666666
finch,primary,thr0.3,zero,uniform,repeats=1,rotate_z,0.5222222222222223,0.37333333333333335,0.6755555555555556,0.8158767192714296,0.7646611395443765,6.5601111111111114,5.879888888888888,0.4,0.26666666666666666
finch,primary,thr0.3,zero,uniform,repeats=1,bigram_z,0.13666666666666666,0.057749999999999996,0.24113888888888874,0.8158767192714296,0.7646611395443765,6.5601111111111114,5.879888888888888,0.4,0.26666666666666666
finch,primary,thr0.3,zero,uniform,repeats=1,observed_mean_slope,0.2611111111111111,0.14555555555555555,0.39555555555555555,0.8158767192714296,0.7646611395443765,6.5601111111111114,5.879888888888888,0.4,0.26666666666666666
finch,primary,thr0.3,zero,uniform,repeats=1,observed_mean_unit_types,0.6338888888888888,0.4799722222222222,0.7755833333333332,0.8158767192714296,0.7646611395443765,6.5601111111111114,5.879888888888888,0.4,0.26666666666666666
finch,primary,thr0.3,zero,lognormal,repeats=1,observed_mean_r2,0.5322222222222223,0.37222222222222223,0.6844999999999997,0.8158767192714296,0.8127838429422083,6.5601111111111114,6.321666666666666,0.4,0.3333333333333333
